id;date;details;status;payment_method;payment_date;payment_amount
1;2023-11-16T21:59:59;huzzah;CANCELLED;CREDIT_CARD;2023-11-16T13:44:04;26427.23
2;2023-11-17T04:09:37;whoa cholesterol;CANCELLED;CREDIT_CARD;2023-11-17T00:15:23;16377.57
3;2023-11-17T02:43:13;perish into;PAID;CREDIT_CARD;2023-11-17T05:11:26;5299.83
4;2023-11-17T12:53:11;duh unto;CANCELLED;PAYPAL;2023-11-16T20:56:11;2612.07
5;2023-11-17T06:05:53;bronze incomparable;ISSUED;CASH_ON_DELIVERY;2023-11-17T00:41:04;14796.88
6;2023-11-17T04:05:35;circa;CANCELLED;CASH_ON_DELIVERY;2023-11-17T03:18:25;866.29
7;2023-11-17T02:06:00;tightly which modulo;CANCELLED;PAYPAL;2023-11-16T20:10:51;26137.73
8;2023-11-17T08:20:28;pyramid soon;CANCELLED;CREDIT_CARD;2023-11-17T09:21:46;17934.91
9;2023-11-17T08:51:32;harp;ISSUED;CREDIT_CARD;2023-11-17T01:11:51;5713.21
10;2023-11-16T14:18:54;artistic;ISSUED;CASH_ON_DELIVERY;2023-11-17T13:26:50;29469.35
