id;name;description;price;size;image;image_content_type
1;despite murky gee;blissful;7722.06;L;../fake-data/blob/hipster.png;image/png
2;finally bah zowie;by gopher than;1901.75;S;../fake-data/blob/hipster.png;image/png
3;bill;elementary;24310.92;L;../fake-data/blob/hipster.png;image/png
4;prosperity publicize;prejudge;28671.07;L;../fake-data/blob/hipster.png;image/png
5;worthless;ew;2933.35;M;../fake-data/blob/hipster.png;image/png
6;astride wrongly;than;31523.12;M;../fake-data/blob/hipster.png;image/png
7;aside roughly meanwhile;between;21873.88;XL;../fake-data/blob/hipster.png;image/png
8;article vice lest;with following unless;5976.56;XXL;../fake-data/blob/hipster.png;image/png
9;as amongst since;klap louse;24679.65;XXL;../fake-data/blob/hipster.png;image/png
10;phooey;yahoo;18402.83;M;../fake-data/blob/hipster.png;image/png
