id;placed_date;status;code
1;2023-11-17T05:35:49;COMPLETED;yum
2;2023-11-16T22:33:52;COMPLETED;dub into
3;2023-11-17T04:17:01;PENDING;round macro meanwhile
4;2023-11-16T17:29:18;PENDING;extrude repatriate patiently
5;2023-11-17T06:00:05;CANCELLED;until enfeeble instead
6;2023-11-17T03:35:38;PENDING;meanwhile tone
7;2023-11-17T07:26:54;PENDING;throb off thumb
8;2023-11-17T00:04:40;CANCELLED;brilliant memorize fossick
9;2023-11-17T02:18:02;COMPLETED;finally
10;2023-11-16T19:11:10;PENDING;each careless
